"id","title","year","description","director","type_id","rating","imagepath","imagename"
"37","Pirates of the Caribbean: At World's End","2007-05-18 23:00:00","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with brave Will Turner and feisty Elizabeth Swann. And what of Jack Sparrow? Nothing is as it seems.",,"0","7.9","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6a57784856706f6d674859354d3730505262457844473358516b4c2e6a7067.jpg"
"38","Pirates of the Caribbean: Dead Man's Chest","2006-07-06 23:00:00","The high-seas adventures of happy-go-lucky troublemaker Captain Jack Sparrow, young Will Turner and headstrong beauty Elizabeth Swann continues as Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",,"0","8","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f71436f48574538746970573166575734644255585a394e696b772e6a7067.jpg"
"39","National Treasure: Book of Secrets","2007-12-12 23:00:00","Benjamin Franklin Gates and Dr. Abigail Chase -- who found riches and romance at the end of their first hunt for national treasure -- reteam with their wisecracking partner in crime, Riley Poole, for another romp through U.S. history. Now, armed with a stack of long-lost pages from John Wilkes Booth's diary, Ben is obsessed with finding the truth behind President Abraham Lincoln's assassination.",,"0","7.5","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f346a5464504c3568315478694a504e496967313445354c363444452e6a7067.jpg"
"40","National Treasure","2004-11-07 23:00:00","Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",,"0","7.5","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6c754d6f6335364c4c4d575574363076554e4e7077787262544e742e6a7067.jpg"
"41","Cars","2006-06-07 23:00:00","Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",,"0","6.8","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f776a6e39414b5a79393871436969786939695770757869555466682e6a7067.jpg"
"42","Cars 2","2011-06-15 23:00:00","Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.",,"0","6.6","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f3757494c446a6e4a676742336249696f53334c527674766d7531582e6a7067.jpg"
"43","Lady and the Tramp","0000-00-00 00:00:00","Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.",,"0","7.3","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6d6741756b334b5271555a3276546f425855534b4f585872784d612e6a7067.jpg"
"44","Enchanted","2007-11-19 23:00:00","The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",,"0","8.3","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f7439535a6f4d38484666626c376d4d71384e51797878764e6b72422e6a7067.jpg"
"45","The Chronicles of Narnia: Prince Caspian","2008-05-13 23:00:00","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",,"0","7","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6b5353797a71773943347755676769634734443831586d707452312e6a7067.jpg"
"46","Meet the Robinsons","2007-03-27 23:00:00","In this animated adventure, brilliant preteen inventor Lewis creates a memory scanner to retrieve his earliest recollections and find out why his mother gave him up for adoption. But when the villainous Bowler Hat Guy steals the machine, Lewis is ready to give up on his quest until the mysterious Wilbur Robinson shows up on the scene, whisking Lewis to the future to find the scanner and his mom.",,"0","8.2","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6f653777395378476d70535731646c7a35516156564b574245567a2e6a7067.jpg"
"47","John Carter","2012-03-06 23:00:00","Civil War vet John Carter is transplanted to Mars, where he discovers a lush, wildly diverse planet whose main inhabitants are 12-foot tall green barbarians. Finding himself a prisoner of these creatures, he escapes, only to encounter Dejah Thoris, Princess of Helium, who is in desperate need of a savior.",,"0","7.4","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6c394e53784e6461486e7a73703339316b5a426761574e496561532e6a7067.jpg"
"48","Tinker Bell and the Great Fairy Rescue","2010-08-30 23:00:00","During a summer stay on the mainland, TinkerBell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl. Determined to mend the girl's relationship with her distant father, Tink turns away her rescuers in order to help her new human friend risking her own safety and the future of fairykind.",,"0","7.7","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f706150556f6e327833426c533751776c6959686c356c7055347a5a2e6a7067.jpg"
"49","TRON: Legacy","2010-12-15 23:00:00","Sam Flynn, the tech-savvy son of Kevin Flynn, looks into his father's disappearance and finds himself pulled into the same world of fierce programs and gladiatorial games where Kevin has been living for 25 years. Along with Kevin's loyal confidant, father and son embark on a life-and-death journey across a visually-stunning cyber universe that has become far more advanced.",,"0","7.4","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f655a573552763070656f47724330525931326c777a6f4c50776d782e6a7067.jpg"
"50","Bedtime Stories","2008-12-23 23:00:00","Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?",,"0","7.1","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f79686b5279723544464f6d4e6c6175417759367a426b7333436a732e6a7067.jpg"
"51","A Bug's Life","1998-11-13 23:00:00","On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",,"0","7.2","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f3547614c5570396d3337426d4a524a644655464d6f6242323735532e6a7067.jpg"
"52","The Aristocats","1970-12-10 00:00:00","When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children -- Bonfamille's prize family of domesticated house cats -- the butler plots to steal the money and kidnaps the heirs, leaving them out on a country road. All seems lost until the wily Thomas O'Malley Cat and his jazz-playing alley cats come to the Aristocats's rescue.",,"0","6.9","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6a4b4577485735666572695046413051475a736b33636a513554392e6a7067.jpg"
"53","Aladdin","1992-11-24 23:00:00","Aladdin is a street-urchin who lives in a large and busy town long ago with his faithful monkey friend Abu. When Princess Jasmine gets tired of being forced to remain in the palace that overlooks the city, she sneaks out to the marketplace, where she accidentally meets Aladdin. Under the orders of the evil Jafar (the sultan's advisor), Aladdin is thrown in jail and becomes caught up in Jafar's plot to rule the land with the aid of a mysterious lamp. Legend has it that only a person who is a ""diamond in the rough"" can retrieve the lamp from the Cave of Wonders. Aladdin might fight that description, but that's not enough to marry the princess, who must (by law) marry a prince.",,"0","8","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f6f41324159366164425972485372764d5153665a313479413048412e6a7067.jpg"
"55","The Fox and the Hound","1981-07-09 23:00:00","The fun and adventure begin when a lonely widow adopts an orphaned fox cub named Tod. The mischievous fox soon meets up with Copper, an adorable hound puppy. As the innocent pair grow up together in the forest, they become inseparable friends. But the day soon arrives when their friendship is put to the ultimate test!",,"0","7.7","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f39396a335577583768324266653762746f6e616953576f557674512e6a7067.jpg"
"56","The Wild","2006-04-12 23:00:00","An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",,"0","5.4","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f39316849543678645736484c316d7630514d4b7664773043336d302e6a7067.jpg"
"58","Return to Never Land","2002-02-13 23:00:00","The classic tale of 'Peter Pan' continues in Disney's sequel 'Return to Never Land'. In 1940 on a world besieged by World War II, Wendy, now grown up, has two children, one of them is her daughter, Jane.",,"0","6.8","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f7a52796a526636346b394756516e5a36687874417232733175706a2e6a7067.jpg"
"59","The Tale of Despereaux","2008-12-18 23:00:00","The tale of three unlikely heroes - a misfit mouse who prefers reading books to eating them, an unhappy rat who schemes to leave the darkness of the dungeon, and a bumbling servant girl with cauliflower ears - whose fates are intertwined with that of the castle's princess.",,"0","7.9","/home/geoffreyc/domains/mark.geoffreyc.co.uk/public_html/resources/images/posters/","687474703a2f2f6366322e696d676f626a6563742e636f6d2f742f702f773530302f375059554648584e366f504e37674e6e5968534a5752765270547a2e6a7067.jpg"
